hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,cbd_congestion_fee,id
HV0003,B03404,B03404,3/31/25 19:50,3/31/25 19:51,3/31/25 19:51,3/31/25 20:10,148,161,3.44,1137,31.49,0,0.75,2.8,2.75,0,0,17.76,N,N,N,N,Y,1.5,35
HV0003,B03404,B03404,5/6/25 22:38,5/6/25 22:40,5/6/25 22:42,5/6/25 23:03,237,223,4.46,1290,29.85,0,0.71,2.64,2.75,0,0,19.3,N,N,N,N,N,1.5,36
HV0005,B03406,,1/26/25 19:29,,1/26/25 19:32,1/26/25 19:56,41,129,6.836,1441,26.66,6.8,0.92,2.97,0,0,0,23.38,N,N,N,N,N,0,37
HV0005,B03406,,1/26/25 18:36,,1/26/25 18:41,1/26/25 18:54,127,241,1.886,802,11.72,0,0.32,1.04,0,0,0,10.39,N,N,N,N,N,0,38
HV0003,B03404,B03404,2/3/25 2:56,2/3/25 3:01,2/3/25 3:03,2/3/25 3:15,203,132,5.59,707,14.77,0,0.37,1.32,0,0,0,14.47,Y,N,N,N,N,0,39
HV0005,B03406,,4/20/25 9:15,4/20/25 9:20,4/20/25 9:21,4/20/25 9:34,181,54,2.333,759,15.26,0,0.38,1.35,0,0,0,10.99,N,N,N,N,N,0,40
HV0005,B03406,,3/15/25 14:42,3/15/25 14:43,3/15/25 14:44,3/15/25 14:59,172,109,3.817,876,17.13,0,0.43,1.52,0,0,0,14.29,N,N,N,N,N,0,41
HV0003,B03404,B03404,2/16/25 23:17,2/16/25 23:21,2/16/25 23:23,2/16/25 23:55,236,82,6.27,1922,27.49,0,0.65,2.44,2.75,0,0,27.2,N,N,N,N,N,1.5,42
HV0005,B03406,,4/15/25 15:41,4/15/25 15:43,4/15/25 15:44,4/15/25 16:05,97,35,3.598,1256,22.44,0,0.56,1.99,0,0,0,17.82,N,N,N,N,N,0,43
HV0005,B03406,,3/23/25 20:01,3/23/25 20:08,3/23/25 20:08,3/23/25 20:17,97,148,2.438,530,14.14,0,0.35,1.25,2.75,0,0,8.83,N,N,N,N,N,1.5,44
HV0003,B03404,B03404,1/25/25 22:33,1/25/25 22:37,1/25/25 22:39,1/25/25 22:48,89,149,2.21,566,14.27,0,0.39,1.26,0,0,0,8.51,N,N,N,N,N,0,45
HV0003,B03404,B03404,5/26/25 18:15,5/26/25 18:19,5/26/25 18:19,5/26/25 18:42,258,61,4.53,1410,19.45,0,0.47,1.64,0,0,0,21.78,N,N,N,N,N,0,46
HV0005,B03406,,4/29/25 22:13,4/29/25 22:22,4/29/25 22:23,4/29/25 22:43,164,238,5.2,1198,33.72,0,0.84,2.99,2.75,0,4,19.51,N,N,N,N,N,1.5,47
HV0003,B03404,B03404,1/15/25 19:23,1/15/25 19:28,1/15/25 19:29,1/15/25 20:07,232,86,20.82,2295,59.31,0,1.59,5.26,2.75,0,0,50.62,N,N,N,N,N,1.5,48
HV0003,B03404,B03404,3/12/25 13:02,3/12/25 13:09,3/12/25 13:09,3/12/25 13:30,230,164,1.51,1258,17.3,0,0.39,1.52,2.75,0,0,14.82,N,N,N,N,N,1.5,49
HV0003,B03404,B03404,5/28/25 12:24,5/28/25 12:25,5/28/25 12:27,5/28/25 12:41,223,7,1.82,854,16.49,0,0.41,1.46,0,0,0,11.18,N,N,N,N,N,0,50
HV0003,B03404,B03404,5/17/25 0:14,5/17/25 0:24,5/17/25 0:25,5/17/25 0:42,95,131,5.34,1011,19.74,0,0.5,1.74,0,0,2.19,17.74,N,N,N,N,N,0,51
HV0003,B03404,B03404,4/7/25 18:02,4/7/25 18:09,4/7/25 18:09,4/7/25 18:56,132,265,20.06,2790,66.26,0,1.68,6.18,0,2.5,11.62,60.36,N,N,N,N,N,0,52
HV0003,B03404,B03404,5/11/25 15:08,5/11/25 15:15,5/11/25 15:16,5/11/25 15:44,37,170,6.84,1681,39.92,6.94,1.02,4.38,2.75,0,0,31.88,N,N,N,N,N,1.5,53
HV0003,B03404,B03404,4/30/25 6:01,4/30/25 6:02,4/30/25 6:03,4/30/25 6:17,87,162,5.74,815,35.39,0,0.9,3.33,2.75,0,6.67,18.03,N,N,N,N,N,1.5,54
HV0003,B03404,B03404,4/12/25 21:25,4/12/25 21:27,4/12/25 21:28,4/12/25 21:33,68,246,0.81,313,26.54,0,0.67,2.51,2.75,0,0,16.65,N,N,N,N,N,1.5,55
HV0005,B03406,,4/5/25 12:11,4/5/25 12:16,4/5/25 12:16,4/5/25 12:45,181,80,5.666,1762,31.03,0,0.65,2.31,0,0,5.1,25.87,N,N,N,N,N,0,56
HV0005,B03406,,1/30/25 20:31,,1/30/25 20:34,1/30/25 20:53,231,79,1.321,1173,16.53,0,0.45,1.47,2.75,0,4.09,13.24,N,N,N,N,N,1.5,57
HV0005,B03406,,3/21/25 21:11,3/21/25 21:17,3/21/25 21:18,3/21/25 21:45,68,265,6.314,1605,34.26,20.04,1.36,0,0,0,0,28.28,N,N,N,N,N,1.5,58
HV0003,B03404,B03404,3/10/25 10:07,3/10/25 10:07,3/10/25 10:09,3/10/25 10:40,25,228,3.05,1850,28.7,0,0.71,2.55,0,0,4.79,25.06,N,N,N,N,Y,0,59
HV0003,B03404,B03404,4/22/25 19:55,4/22/25 19:56,4/22/25 19:57,4/22/25 20:02,211,144,0.47,284,31.6,0,0.75,2.8,2.75,0,3.79,16.65,N,N,N,N,N,1.5,60
HV0003,B03404,B03404,4/26/25 6:59,4/26/25 7:03,4/26/25 7:03,4/26/25 7:15,39,91,2.75,753,16.09,0,0.38,1.38,0,0,0,11.47,N,N,N,N,N,0,61
HV0003,B03404,B03404,4/5/25 18:21,4/5/25 18:25,4/5/25 18:26,4/5/25 18:32,222,76,1.47,387,7.68,0,0.17,0.6,0,0,0,5.97,N,N,N,N,N,0,62
HV0003,B03404,B03404,2/15/25 17:17,2/15/25 17:34,2/15/25 17:34,2/15/25 17:41,115,115,0.64,407,7.15,0,0.14,0.5,0,0,0,4.82,N,N,N,N,N,0,63
HV0003,B03404,B03404,4/28/25 13:49,4/28/25 13:50,4/28/25 13:50,4/28/25 14:59,79,43,5.41,4134,34.29,0,0.82,3.04,2.75,0,8.18,49.39,N,N,N,N,N,1.5,64
HV0005,B03406,,5/6/25 1:07,5/6/25 1:27,5/6/25 1:27,5/6/25 1:49,138,260,2.449,1319,11.01,0,0.28,1.2,0,2.5,5,16.83,N,N,N,N,N,0,65
HV0003,B03404,B03404,3/3/25 20:45,3/3/25 20:47,3/3/25 20:48,3/3/25 20:56,225,61,1.49,501,7.13,0,0.18,0.63,0,0,0,7.15,N,N,N,N,N,0,66
HV0005,B03406,,4/7/25 17:58,4/7/25 18:05,4/7/25 18:05,4/7/25 18:17,42,116,1.015,744,9.86,0,0.25,0.88,0,0,0,8.98,N,N,N,N,N,0,67
HV0003,B03404,B03404,5/5/25 19:08,5/5/25 19:15,5/5/25 19:15,5/5/25 19:28,163,68,1.88,761,23.59,0,0.55,2.09,2.75,0,0,11.1,N,N,N,N,N,1.5,68
HV0005,B03406,,5/25/25 19:40,5/25/25 19:43,5/25/25 19:44,5/25/25 20:04,129,198,4.42,1176,19.82,0,0.44,1.57,0,0,0,18.18,N,N,N,N,N,0,69
HV0003,B03404,B03404,1/7/25 22:12,1/7/25 22:16,1/7/25 22:16,1/7/25 22:21,193,193,0.91,313,8.4,0,0.24,0.79,0,0,0,5.13,N,N,N,Y,Y,0,70
HV0003,B03404,B03404,5/24/25 16:30,5/24/25 16:31,5/24/25 16:31,5/24/25 16:50,47,51,5.01,1101,25.98,0,0.65,2.31,0,0,0,18.19,N,N,N,N,N,0,71
HV0005,B03406,,3/22/25 17:19,3/22/25 17:25,3/22/25 17:26,3/22/25 18:08,232,89,9.275,2522,36.7,0.43,0.93,3.29,2.75,0,0,38.68,N,N,N,N,N,1.5,72
HV0003,B03404,B03404,2/11/25 20:54,2/11/25 20:55,2/11/25 21:00,2/11/25 21:10,148,261,1.61,575,46.57,0,1.12,4.13,2.75,0,0,23.32,N,N,N,N,N,1.5,73
HV0005,B03406,,3/1/25 23:36,,3/1/25 23:44,3/2/25 0:12,255,140,6.7,1671,44.12,0,2.02,7.16,2.75,0,14.11,32.36,N,N,N,N,Y,1.5,74
HV0003,B03404,B03404,5/24/25 3:33,5/24/25 3:36,5/24/25 3:37,5/24/25 3:41,56,57,1.08,271,7.31,0,0.16,0.57,0,0,0,4.25,N,N,N,N,N,0,75
HV0003,B03404,B03404,4/12/25 13:17,4/12/25 13:20,4/12/25 13:21,4/12/25 13:29,161,141,1.4,526,16.36,0,0.37,1.44,2.75,0,0,7.46,N,N,N,N,N,1.5,76
HV0003,B03404,B03404,1/24/25 22:27,1/24/25 22:34,1/24/25 22:35,1/24/25 22:54,25,66,1.95,1192,23.47,0,0.68,2.21,0,0,0,29.48,N,N,N,N,N,0,77
HV0003,B03404,B03404,4/9/25 15:42,4/9/25 15:44,4/9/25 15:46,4/9/25 15:56,122,205,1.64,602,11.6,0,0.29,1.02,0,0,0,8.38,N,N,N,N,N,0,78
HV0003,B03404,B03404,4/6/25 19:09,4/6/25 19:25,4/6/25 19:25,4/6/25 19:36,155,210,1.8,656,15.01,0,0.38,1.36,0,0,0,16.19,N,N,N,N,N,0,79
HV0003,B03404,B03404,5/7/25 21:20,5/7/25 21:25,5/7/25 21:25,5/7/25 21:28,102,102,0.92,210,7.57,0,0.18,0.65,0,0,0,4,N,N,N,N,N,0,80
HV0003,B03404,B03404,3/8/25 10:13,3/8/25 10:15,3/8/25 10:17,3/8/25 10:42,230,138,9.96,1487,78.3,6.94,2.05,8.22,2.75,2.5,15.84,41.03,N,N,N,N,N,1.5,81
HV0003,B03404,B03404,4/4/25 18:36,4/4/25 19:16,4/4/25 19:18,4/4/25 19:29,93,70,1.65,625,25.81,0,0.67,2.37,0,0,0,18.59,N,N,N,N,N,0,82
HV0003,B03404,B03404,1/17/25 11:13,1/17/25 11:14,1/17/25 11:15,1/17/25 11:22,132,132,4.16,468,15.36,0,0.49,1.58,0,2.5,0,10.21,N,N,N,N,N,0,83
HV0003,B03404,B03404,1/17/25 17:59,1/17/25 18:03,1/17/25 18:03,1/17/25 18:13,229,263,1.58,583,12.92,0,0.34,1.21,2.75,0,2,9.13,N,N,N,N,Y,1.5,84
HV0003,B03404,B03404,5/29/25 9:21,5/29/25 9:23,5/29/25 9:23,5/29/25 9:33,158,13,1.49,574,18.2,0,0.42,1.6,2.75,0,2.29,8.39,N,N,N,N,N,1.5,85
HV0005,B03406,,5/6/25 11:39,5/6/25 11:40,5/6/25 11:41,5/6/25 11:55,10,139,3.008,846,14.36,0,0.36,1.27,0,0,0,12.83,N,N,N,N,N,0,86
HV0003,B03404,B03404,2/5/25 19:54,2/5/25 19:57,2/5/25 19:58,2/5/25 20:05,198,36,1.24,439,8.97,0,0.22,0.8,0,0,0,5.96,N,N,N,N,N,0,87
HV0003,B03404,B03404,1/22/25 12:30,1/22/25 12:32,1/22/25 12:34,1/22/25 12:45,179,179,0.78,638,8.77,0,0.22,0.72,0,0,0,9.31,N,N,N,N,Y,0,88
HV0003,B03404,B03404,4/8/25 6:31,4/8/25 6:36,4/8/25 6:36,4/8/25 7:08,181,68,6.35,1945,45.96,0,1.11,4.08,2.75,0,0,28.58,N,N,N,N,N,1.5,89
HV0005,B03406,,5/28/25 16:06,5/28/25 16:10,5/28/25 16:11,5/28/25 16:19,139,219,1.322,499,9.58,0,0.24,0.85,0,0,0,6.93,N,N,N,N,N,0,90
HV0005,B03406,,5/1/25 16:56,5/1/25 16:57,5/1/25 16:58,5/1/25 17:21,25,66,1.756,1384,24.82,0,0.62,2.2,0,0,0,16.51,N,N,N,N,N,0,91
HV0005,B03406,,3/1/25 2:12,,3/1/25 2:21,3/1/25 2:35,37,61,3.003,836,16.89,0,0.42,1.5,0,0,3.76,14.73,N,N,N,N,N,0,92
HV0003,B03404,B03404,1/25/25 20:52,1/25/25 20:53,1/25/25 20:54,1/25/25 21:03,208,242,2.18,537,12.14,0,0.33,1.08,0,0,0,8.18,N,N,N,N,N,0,93
HV0005,B03406,,1/4/25 23:01,,1/4/25 23:12,1/4/25 23:32,230,116,5.653,1167,31.82,0,0.74,2.38,2.75,0,0,21.29,N,N,N,N,Y,0,94
HV0003,B03404,B03404,1/15/25 7:24,1/15/25 7:27,1/15/25 7:29,1/15/25 7:45,112,161,3.99,958,28.61,6.94,0.76,3.17,2.75,0,0,14.74,N,N,N,N,N,1.5,95
HV0003,B03404,B03404,2/2/25 15:25,2/2/25 15:26,2/2/25 15:26,2/2/25 15:45,167,3,4.33,1121,30.19,0,0.76,2.68,0,0,0,16.78,N,N,N,N,N,0,96
HV0003,B03404,B03404,2/11/25 10:33,2/11/25 10:34,2/11/25 10:34,2/11/25 11:03,234,112,4.95,1752,33.73,6.94,0.82,3.61,2.75,0,7.18,23.75,N,N,N,N,N,1.5,97
HV0003,B03404,B03404,2/15/25 0:07,2/15/25 0:09,2/15/25 0:11,2/15/25 0:24,89,49,2.46,743,16.03,0,0.4,1.42,0,0,0,10.56,N,N,N,N,N,0,98
HV0005,B03406,,4/30/25 12:04,4/30/25 12:06,4/30/25 12:06,4/30/25 12:36,113,228,7.619,1790,37.7,5.23,1.07,3.81,2.75,0,0,28.93,N,N,N,N,N,1.5,99
HV0003,B03404,B03404,1/6/25 13:22,1/6/25 13:25,1/6/25 13:25,1/6/25 13:49,116,129,7.47,1403,31.02,6.94,0.86,3.37,0,0,0,27.68,N,N,N,N,N,0,100
HV0003,B03404,B03404,5/3/25 17:58,5/3/25 18:00,5/3/25 18:01,5/3/25 18:14,71,35,2.12,803,14.35,0,0.36,1.29,0,0,0,11.08,N,N,N,N,N,0,101
HV0003,B03404,B03404,3/10/25 22:25,3/10/25 22:27,3/10/25 22:28,3/10/25 22:31,123,123,0.41,178,8.88,0,0.22,0.78,0,0,0,4.47,N,N,N,N,N,0,102
HV0005,B03406,,2/18/25 17:20,,2/18/25 17:21,2/18/25 17:32,229,237,1.236,642,13.01,0,0.33,1.15,2.75,0,0,7.95,N,N,N,N,N,1.5,103
HV0005,B03406,,5/2/25 22:42,5/2/25 22:48,5/2/25 22:49,5/2/25 23:12,62,225,3.48,1354,20.97,0,0.47,1.68,0,0,0,18.64,N,N,N,N,N,0,104
HV0003,B03404,B03404,1/26/25 20:16,1/26/25 20:18,1/26/25 20:19,1/26/25 20:57,90,132,18.61,2268,63.77,6.94,1.93,6.85,2.75,2.5,0,50.31,N,N,N,N,N,1.5,105
HV0005,B03406,,2/1/25 11:05,,2/1/25 11:10,2/1/25 11:57,90,1,18.335,2795,85.62,20.71,2.53,0,0,2.5,22.57,67.46,N,N,N,N,Y,1.5,106
HV0003,B03404,B03404,1/15/25 11:22,1/15/25 11:24,1/15/25 11:24,1/15/25 11:40,237,107,2.45,935,26.81,0,0.7,2.38,2.75,0,0,12.71,N,N,N,N,N,1.5,107
HV0003,B03404,B03404,3/6/25 13:23,3/6/25 13:23,3/6/25 13:24,3/6/25 13:48,224,146,4.38,1459,25.38,6.94,0.6,2.86,2.75,0,0,20.92,N,N,N,N,N,1.5,108
HV0003,B03404,B03404,1/12/25 16:38,1/12/25 16:40,1/12/25 16:42,1/12/25 16:49,17,217,0.84,441,6.44,0,0.16,0.52,0,0,0,5.43,N,N,N,N,N,0,109
HV0005,B03406,,4/10/25 6:35,4/10/25 6:41,4/10/25 6:41,4/10/25 6:54,241,254,4.13,804,17.03,0,0.43,1.51,0,0,0,13.99,N,N,N,N,N,0,110
HV0003,B03404,B03404,2/7/25 23:08,2/7/25 23:21,2/7/25 23:22,2/7/25 23:59,138,265,27.23,2206,87.85,0,2.26,8.01,0,2.5,20.12,66.34,N,N,N,N,N,0,111
HV0003,B03404,B03404,3/22/25 18:19,3/22/25 18:24,3/22/25 18:25,3/22/25 18:34,25,181,1.3,535,22.74,0,0.57,2.02,0,0,5.06,14.72,N,N,N,N,N,0,112
HV0003,B03404,B03404,5/12/25 23:55,5/12/25 23:59,5/12/25 23:59,5/13/25 0:09,130,122,2.05,611,10.1,0,0.25,0.91,0,0,0,9.05,N,N,N,N,N,0,113
HV0003,B03404,B03404,5/29/25 23:54,5/29/25 23:57,5/29/25 23:59,5/30/25 0:02,124,180,0.89,209,8.05,0,0.2,0.71,0,0,0,4.04,N,N,N,N,N,0,114
HV0003,B03404,B03404,1/9/25 20:23,1/9/25 20:29,1/9/25 20:31,1/9/25 20:47,65,17,2.39,924,17.06,0,0.45,1.45,0,0,0,12.56,N,N,N,N,N,0,115
HV0003,B03404,B03404,3/16/25 14:39,3/16/25 14:41,3/16/25 14:43,3/16/25 15:09,231,138,11.99,1592,62.66,0,1.53,5.78,2.75,2.5,0,33,N,N,N,N,N,1.5,116
HV0005,B03406,,5/17/25 5:19,5/17/25 5:21,5/17/25 5:22,5/17/25 5:54,130,85,12.793,1952,44.24,0,0.98,3.49,0,0,7.31,39.4,N,N,N,N,N,0,117
HV0003,B03404,B03404,3/2/25 22:33,3/2/25 22:40,3/2/25 22:40,3/2/25 22:50,119,69,1.47,579,9.4,0,0.23,0.84,0,0,3,10.43,Y,N,N,N,Y,0,118
HV0003,B03404,B03404,4/5/25 23:57,4/6/25 0:01,4/6/25 0:01,4/6/25 0:15,141,24,2.85,840,14.52,0,0.36,1.3,2.75,0,1,12.49,N,N,N,N,N,0,119
HV0003,B03404,B03404,3/7/25 14:12,3/7/25 14:15,3/7/25 14:16,3/7/25 14:25,129,173,1.54,500,12.64,0,0.32,1.12,0,0,0,7.21,N,N,N,N,N,0,120
HV0003,B03404,B03404,3/7/25 6:57,3/7/25 6:59,3/7/25 6:59,3/7/25 7:09,244,238,5.07,579,20.84,0,0.52,1.84,2.75,0,0,13,N,N,N,N,N,0,121
HV0003,B03404,B03404,5/6/25 12:57,5/6/25 12:59,5/6/25 12:59,5/6/25 13:17,37,225,2.36,1087,16.12,0,0.4,1.44,0,0,0,14.29,N,N,N,N,N,0,122
HV0003,B03404,B03404,3/2/25 16:46,3/2/25 16:46,3/2/25 16:48,3/2/25 16:58,229,262,1.57,590,16.52,0,0.39,1.5,2.75,0,0,8.46,N,N,N,N,N,1.5,123
HV0003,B03404,B03404,1/29/25 22:31,1/29/25 22:38,1/29/25 22:38,1/29/25 22:49,240,265,3.41,674,11.89,0,0.33,1.06,0,0,0,12.42,N,N,N,N,N,0,124
HV0003,B03404,B03404,1/31/25 20:52,1/31/25 20:54,1/31/25 20:56,1/31/25 21:06,157,82,1.2,580,12.87,0,0.35,1.15,0,0,0,8.13,N,N,N,N,Y,0,125
HV0003,B03404,B03404,5/9/25 13:17,5/9/25 13:20,5/9/25 13:20,5/9/25 13:35,220,119,5.16,900,22.13,0,0.56,1.95,0,0,0,16.37,N,N,N,N,N,0,126
HV0005,B03406,,2/5/25 19:24,,2/5/25 19:27,2/5/25 19:58,246,36,7.942,1854,33.91,4.92,0,0,0,0,0,28.92,N,N,N,N,N,0,127
HV0003,B03404,B03404,5/5/25 20:03,5/5/25 20:08,5/5/25 20:08,5/5/25 20:17,91,210,2.48,556,13.44,0,0.33,1.2,0,0,0,9.63,N,N,N,N,N,0,128
HV0005,B03406,,3/4/25 14:38,,3/4/25 14:43,3/4/25 14:58,73,92,0.865,895,8.71,0,0.22,0.77,0,0,0,10.29,N,N,N,N,N,0,129
HV0005,B03406,,4/10/25 8:50,4/10/25 8:53,4/10/25 8:54,4/10/25 9:11,14,26,2.554,1018,17.64,0,0.44,1.56,0,0,0,13.93,N,N,N,N,N,0,130
HV0003,B03404,B03404,1/11/25 2:07,1/11/25 2:09,1/11/25 2:09,1/11/25 2:31,74,174,8.74,1319,26.37,0,0.72,2.34,0,0,2.94,24.7,N,N,N,N,N,0,131
HV0003,B03404,B03404,2/6/25 6:26,2/6/25 6:33,2/6/25 6:35,2/6/25 7:07,35,197,7.2,1904,56.31,0,1.41,4.99,0,0,0,30.56,N,N,N,N,N,0,132
HV0003,B03404,B03404,3/7/25 18:16,3/7/25 18:21,3/7/25 18:22,3/7/25 18:28,211,113,1.01,389,16.73,0,0.38,1.46,2.75,0,0,7.44,N,N,N,N,N,1.5,133
